"","state","date","outcome","population"
"1","Alabama",2017-01-14,1130,4869440.9369863
"2","Alabama",2017-01-21,1048,4869651.14794521
"3","Alabama",2017-01-28,1026,4869861.35890411
"4","Alabama",2017-02-04,1036,4870071.56986301
"5","Alabama",2017-02-11,1058,4870281.78082192
"6","Alabama",2017-02-18,1060,4870491.99178082
"7","Alabama",2017-02-25,1099,4870702.20273973
"8","Alabama",2017-03-04,1081,4870912.41369863
"9","Alabama",2017-03-11,1011,4871122.62465753
"10","Alabama",2017-03-18,1067,4871332.83561644
"11","Alabama",2017-03-25,1068,4871543.04657534
"12","Alabama",2017-04-01,991,4871753.25753425
"13","Alabama",2017-04-08,1037,4871963.46849315
"14","Alabama",2017-04-15,1017,4872173.67945206
"15","Alabama",2017-04-22,966,4872383.89041096
"16","Alabama",2017-04-29,996,4872594.10136986
"17","Alabama",2017-05-06,907,4872804.31232877
"18","Alabama",2017-05-13,1064,4873014.52328767
"19","Alabama",2017-05-20,998,4873224.73424658
"20","Alabama",2017-05-27,988,4873434.94520548
"21","Alabama",2017-06-03,925,4873645.15616438
"22","Alabama",2017-06-10,984,4873855.36712329
"23","Alabama",2017-06-17,918,4874065.57808219
"24","Alabama",2017-06-24,961,4874275.7890411
"25","Alabama",2017-07-01,925,4874486
"26","Alabama",2017-07-08,954,4874739.05479452
"27","Alabama",2017-07-15,968,4874992.10958904
"28","Alabama",2017-07-22,964,4875245.16438356
"29","Alabama",2017-07-29,888,4875498.21917808
"30","Alabama",2017-08-05,949,4875751.2739726
"31","Alabama",2017-08-12,936,4876004.32876712
"32","Alabama",2017-08-19,933,4876257.38356164
"33","Alabama",2017-08-26,917,4876510.43835616
"34","Alabama",2017-09-02,953,4876763.49315068
"35","Alabama",2017-09-09,960,4877016.54794521
"36","Alabama",2017-09-16,968,4877269.60273973
"37","Alabama",2017-09-23,995,4877522.65753425
"38","Alabama",2017-09-30,1019,4877775.71232877
"39","Alabama",2017-10-07,948,4878028.76712329
"40","Alabama",2017-10-14,986,4878281.82191781
"41","Alabama",2017-10-21,966,4878534.87671233
"42","Alabama",2017-10-28,941,4878787.93150685
"43","Alabama",2017-11-04,994,4879040.98630137
"44","Alabama",2017-11-11,994,4879294.04109589
"45","Alabama",2017-11-18,982,4879547.09589041
"46","Alabama",2017-11-25,1004,4879800.15068493
"47","Alabama",2017-12-02,1067,4880053.20547945
"48","Alabama",2017-12-09,1074,4880306.26027397
"49","Alabama",2017-12-16,1120,4880559.31506849
"50","Alabama",2017-12-23,1098,4880812.36986301
"51","Alabama",2017-12-30,1080,4881065.42465753
"52","Alabama",2018-01-06,1248,4881318.47945205
"53","Alabama",2018-01-13,1301,4881571.53424658
"54","Alabama",2018-01-20,1275,4881824.5890411
"55","Alabama",2018-01-27,1286,4882077.64383562
"56","Alabama",2018-02-03,1147,4882330.69863014
"57","Alabama",2018-02-10,1181,4882583.75342466
"58","Alabama",2018-02-17,1096,4882836.80821918
"59","Alabama",2018-02-24,1099,4883089.8630137
"60","Alabama",2018-03-03,985,4883342.91780822
"61","Alabama",2018-03-10,1059,4883595.97260274
"62","Alabama",2018-03-17,1086,4883849.02739726
"63","Alabama",2018-03-24,993,4884102.08219178
"64","Alabama",2018-03-31,995,4884355.1369863
"65","Alabama",2018-04-07,1012,4884608.19178082
"66","Alabama",2018-04-14,1026,4884861.24657534
"67","Alabama",2018-04-21,1031,4885114.30136986
"68","Alabama",2018-04-28,971,4885367.35616438
"69","Alabama",2018-05-05,1039,4885620.4109589
"70","Alabama",2018-05-12,950,4885873.46575342
"71","Alabama",2018-05-19,1005,4886126.52054795
"72","Alabama",2018-05-26,977,4886379.57534247
"73","Alabama",2018-06-02,973,4886632.63013699
"74","Alabama",2018-06-09,1011,4886885.68493151
"75","Alabama",2018-06-16,940,4887138.73972603
"76","Alabama",2018-06-23,974,4887391.79452055
"77","Alabama",2018-06-30,927,4887644.84931507
"78","Alabama",2018-07-07,972,4887935.86027397
"79","Alabama",2018-07-14,994,4888233.19726027
"80","Alabama",2018-07-21,959,4888530.53424658
"81","Alabama",2018-07-28,930,4888827.87123288
"82","Alabama",2018-08-04,962,4889125.20821918
"83","Alabama",2018-08-11,969,4889422.54520548
"84","Alabama",2018-08-18,938,4889719.88219178
"85","Alabama",2018-08-25,943,4890017.21917808
"86","Alabama",2018-09-01,936,4890314.55616438
"87","Alabama",2018-09-08,944,4890611.89315069
"88","Alabama",2018-09-15,912,4890909.23013699
"89","Alabama",2018-09-22,998,4891206.56712329
"90","Alabama",2018-09-29,972,4891503.90410959
"91","Alabama",2018-10-06,945,4891801.24109589
"92","Alabama",2018-10-13,943,4892098.57808219
"93","Alabama",2018-10-20,971,4892395.91506849
"94","Alabama",2018-10-27,993,4892693.25205479
"95","Alabama",2018-11-03,927,4892990.5890411
"96","Alabama",2018-11-10,963,4893287.9260274
"97","Alabama",2018-11-17,1055,4893585.2630137
"98","Alabama",2018-11-24,1009,4893882.6
"99","Alabama",2018-12-01,1050,4894179.9369863
"100","Alabama",2018-12-08,1044,4894477.2739726
